country,station_code,station_name,year,date,latitude,longitude,dephu,purpm,species,sex,subseries,n_individual,determinand,matrix,basis,value,unit,limit_detection,limit_quantification,uncertainty,unit_uncertainty,censoring,method_analysis,sample
Denmark,A902,Føroyskar hvalvágir ,2011,09/02/2011,62.15383,-7.15983,,B~T~S~R,Globicephala melas,M,JV,1,C13D,MU,D,-19.7722251,ppt,,,0.1,SD,,MS-ISR,4310171
Denmark,A902,Føroyskar hvalvágir ,2011,09/02/2011,62.15383,-7.15983,,B~T~S~R,Globicephala melas,F,JV,1,C13D,MU,D,-17.8791329,ppt,,,0.1,SD,,MS-ISR,4310171
Denmark,A902,Føroyskar hvalvágir ,2011,09/02/2011,62.15383,-7.15983,,B~T~S~R,Globicephala melas,M,JV,1,N15D,MU,D,11.62750399,ppt,,,0.12,SD,,MS-ISR,4310171
Denmark,A902,Føroyskar hvalvágir ,2011,09/02/2011,62.15383,-7.15983,,B~T~S~R,Globicephala melas,F,JV,1,N15D,MU,D,11.68601439,ppt,,,0.12,SD,,MS-ISR,4310171
Denmark,A902,Føroyskar hvalvágir ,2011,02/09/2011,62.15383,-7.15983,,B~T~S~R,Globicephala melas,M,JV,1,N15D,MU,D,10.69032879,ppt,,,0.12,SD,,MS-ISR,4310175
Denmark,A902,Føroyskar hvalvágir ,2011,02/09/2011,62.15383,-7.15983,,B~T~S~R,Globicephala melas,F,AD,1,N15D,MU,D,11.0131448,ppt,,,0.12,SD,,MS-ISR,4310175
Denmark,A902,Føroyskar hvalvágir ,2011,09/02/2011,62.15383,-7.15983,,B~T~S~R,Globicephala melas,M,JV,1,N15D,MU,D,11.31427159,ppt,,,0.12,SD,,MS-ISR,4310171
Denmark,A902,Føroyskar hvalvágir ,2011,09/02/2011,62.15383,-7.15983,,B~T~S~R,Globicephala melas,M,JV,1,N15D,MU,D,11.19472879,ppt,,,0.12,SD,,MS-ISR,4310171
Denmark,A902,Føroyskar hvalvágir ,2011,09/02/2011,62.15383,-7.15983,,B~T~S~R,Globicephala melas,F,JV,1,N15D,MU,D,11.61237199,ppt,,,0.12,SD,,MS-ISR,4310171
Denmark,A902,Føroyskar hvalvágir ,2011,09/02/2011,62.15383,-7.15983,,B~T~S~R,Globicephala melas,F,JV,1,N15D,MU,D,11.2007816,ppt,,,0.12,SD,,MS-ISR,4310171
Denmark,A902,Føroyskar hvalvágir ,2011,02/09/2011,62.15383,-7.15983,,B~T~S~R,Globicephala melas,M,JV,1,N15D,MU,D,11.2835572,ppt,,,0.12,SD,,MS-ISR,4310175
Denmark,A902,Føroyskar hvalvágir ,2011,02/09/2011,62.15383,-7.15983,,B~T~S~R,Globicephala melas,F,JV,1,N15D,MU,D,10.89087255,ppt,,,0.12,SD,,MS-ISR,4310175
Denmark,A902,Føroyskar hvalvágir ,2011,09/02/2011,62.15383,-7.15983,,B~T~S~R,Globicephala melas,F,JV,1,N15D,MU,D,12.8282741,ppt,,,0.12,SD,,MS-ISR,4310171
Denmark,A902,Føroyskar hvalvágir ,2011,09/02/2011,62.15383,-7.15983,,B~T~S~R,Globicephala melas,M,JV,1,N15D,MU,D,10.97481039,ppt,,,0.12,SD,,MS-ISR,4310171
Denmark,A902,Føroyskar hvalvágir ,2011,09/02/2011,62.15383,-7.15983,,B~T~S~R,Globicephala melas,F,JV,1,N15D,MU,D,12.16822079,ppt,,,0.12,SD,,MS-ISR,4310171
